方案,种子,迭代,当前代价,历史最优代价,历史最优完成时间_s,历史最优能耗_kWh,历史最优架次
完成时间优先,1,2900,65023.04543111405,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,3100,65025.50147764714,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,3300,65026.59366168804,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,3500,65041.33402327713,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,3600,65040.3575524931,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,3700,65022.69207499071,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,3900,65031.651652195236,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,4000,65032.17703865755,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,4100,65032.89738109476,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,4200,65033.34444123674,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,4300,65031.47981661775,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,4400,65032.34412372316,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,4500,65032.79126284049,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,4700,65030.230336723886,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,5000,65031.43945331424,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,5200,65031.09253355569,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,5400,65031.65952124407,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,5500,65032.484132493104,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,5600,65032.61306823797,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,5700,65031.85228151571,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,5800,65031.03581855426,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,5900,65030.653328738335,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,6200,65031.37332532368,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,6400,65031.867460025955,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,6500,64743.531903092044,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,6600,64743.78402356344,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,6700,64743.74780912746,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,6800,64743.82316321484,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,7000,64737.41467643174,64736.811104561886,6427.573880477822,69.21445995673226,23
