mplot3d_elev（度）,真实仰角θ（度）,方位角（度）,可见地面点数,满足余量(≥2m)的地面点数,最小视线余量（m）,被遮挡节点
26.0,9.23,-180.0,5,3,-121.84,O01-S001-S002-S003-S004-S005-S006-S007-S011-S012-S014
26.0,9.23,-177.0,6,3,-116.65,O01-S001-S003-S004-S005-S006-S007-S011-S012-S014
26.0,9.23,-174.0,5,4,-104.76,O01-S001-S003-S004-S005-S006-S007-S011-S012-S013-S014
26.0,9.23,-171.0,5,5,-99.28,O01-S001-S003-S004-S005-S006-S007-S011-S012-S013-S014
26.0,9.23,-168.0,6,5,-96.55,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
26.0,9.23,-165.0,5,5,-91.02,O01-S001-S003-S004-S005-S006-S007-S011-S012-S013-S014
26.0,9.23,-162.0,6,5,-84.11,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
26.0,9.23,-159.0,6,5,-76.3,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
26.0,9.23,-156.0,5,5,-66.45,O01-S001-S003-S004-S006-S007-S008-S011-S012-S013-S014
26.0,9.23,-153.0,6,5,-57.02,O01-S003-S004-S006-S007-S008-S011-S012-S013-S014
26.0,9.23,-150.0,8,6,-63.99,S003-S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-147.0,8,8,-58.04,S003-S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-144.0,8,8,-64.09,S003-S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-141.0,9,9,-58.62,S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-138.0,9,9,-43.72,S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-135.0,9,9,-80.22,S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-132.0,9,9,-70.2,S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-129.0,10,9,-81.9,S004-S007-S008-S011-S012-S013
26.0,9.23,-126.0,10,8,-96.08,S004-S007-S008-S011-S012-S013
26.0,9.23,-123.0,10,9,-117.75,S002-S004-S007-S011-S012-S013
26.0,9.23,-120.0,9,9,-123.24,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-117.0,9,9,-102.29,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-114.0,9,9,-63.89,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-111.0,9,9,-56.5,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-108.0,9,9,-46.78,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-105.0,9,8,-43.36,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-102.0,8,7,-40.84,O01-S001-S002-S004-S007-S011-S012-S013
26.0,9.23,-99.0,9,7,-38.9,O01-S002-S004-S007-S008-S012-S013
26.0,9.23,-96.0,9,8,-39.99,O01-S002-S004-S007-S008-S010-S013
26.0,9.23,-93.0,9,9,-40.67,O01-S002-S004-S007-S008-S010-S013
26.0,9.23,-90.0,10,8,-41.21,O01-S002-S004-S007-S008-S010
26.0,9.23,-87.0,10,8,-63.62,O01-S002-S004-S007-S008-S010
26.0,9.23,-84.0,10,8,-79.5,O01-S002-S004-S007-S008-S010
26.0,9.23,-81.0,10,8,-85.46,O01-S002-S004-S007-S008-S010
26.0,9.23,-78.0,10,8,-88.76,O01-S002-S004-S007-S008-S010
26.0,9.23,-75.0,10,9,-85.52,O01-S002-S004-S007-S008-S010
26.0,9.23,-72.0,10,9,-108.4,O01-S002-S004-S007-S008-S010
26.0,9.23,-69.0,8,7,-134.64,O01-S001-S002-S004-S007-S008-S009-S010
26.0,9.23,-66.0,9,7,-151.77,O01-S002-S004-S007-S008-S009-S010
26.0,9.23,-63.0,8,7,-148.8,O01-S002-S004-S007-S008-S009-S010-S013
26.0,9.23,-60.0,8,7,-153.58,O01-S002-S004-S007-S008-S009-S010-S013
26.0,9.23,-57.0,9,7,-127.45,O01-S002-S004-S007-S008-S009-S013
26.0,9.23,-54.0,9,8,-105.34,O01-S002-S004-S007-S008-S009-S013
26.0,9.23,-51.0,8,8,-79.38,O01-S002-S004-S006-S007-S008-S009-S013
26.0,9.23,-48.0,8,8,-53.73,O01-S002-S004-S006-S007-S008-S009-S013
26.0,9.23,-45.0,7,7,-34.71,O01-S002-S004-S006-S007-S008-S009-S013-S014
26.0,9.23,-42.0,7,7,-49.92,O01-S002-S004-S006-S007-S008-S009-S013-S014
26.0,9.23,-39.0,7,7,-31.83,O01-S002-S004-S006-S007-S008-S009-S013-S014
26.0,9.23,-36.0,6,6,-42.37,O01-S002-S004-S005-S006-S007-S008-S009-S013-S014
26.0,9.23,-33.0,7,6,-69.17,O01-S002-S004-S005-S006-S007-S009-S013-S014
26.0,9.23,-30.0,6,6,-84.11,O01-S002-S004-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-27.0,7,6,-96.99,O01-S002-S004-S005-S006-S007-S009-S010-S014
26.0,9.23,-24.0,7,6,-82.46,O01-S002-S004-S005-S006-S007-S009-S010-S014
26.0,9.23,-21.0,6,6,-65.65,O01-S002-S004-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-18.0,7,6,-60.09,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-15.0,7,7,-67.95,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-12.0,7,7,-59.54,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-9.0,7,7,-73.74,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-6.0,7,7,-66.03,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-3.0,9,8,-64.13,O01-S005-S006-S007-S009-S010-S014
26.0,9.23,0.0,10,9,-76.99,O01-S005-S006-S007-S009-S010
26.0,9.23,3.0,10,9,-36.02,O01-S005-S006-S007-S009-S010
26.0,9.23,6.0,10,8,-39.52,O01-S005-S006-S007-S009-S010
26.0,9.23,9.0,9,8,-43.05,O01-S005-S006-S007-S009-S010-S011
26.0,9.23,12.0,8,7,-46.88,O01-S005-S006-S007-S009-S010-S011-S012
26.0,9.23,15.0,8,7,-38.99,O01-S005-S006-S007-S009-S010-S011-S012
26.0,9.23,18.0,8,6,-38.97,O01-S005-S006-S007-S009-S010-S011-S012
26.0,9.23,21.0,7,5,-36.42,O01-S005-S006-S007-S009-S010-S011-S012-S015
26.0,9.23,24.0,6,4,-41.97,O01-S003-S005-S006-S007-S009-S010-S011-S012-S015
26.0,9.23,27.0,7,5,-47.8,S003-S004-S005-S006-S007-S009-S011-S012-S015
26.0,9.23,30.0,7,6,-48.18,S003-S004-S005-S006-S007-S009-S011-S012-S015
26.0,9.23,33.0,7,6,-44.4,S003-S004-S005-S006-S007-S009-S011-S012-S015
26.0,9.23,36.0,9,5,-56.19,S002-S003-S005-S006-S009-S011-S015
26.0,9.23,39.0,8,6,-70.56,S002-S003-S005-S006-S009-S011-S012-S015
26.0,9.23,42.0,7,7,-81.99,S002-S003-S005-S006-S007-S009-S011-S012-S015
26.0,9.23,45.0,7,7,-86.42,S002-S003-S005-S006-S007-S011-S012-S014-S015
26.0,9.23,48.0,7,6,-82.39,S002-S003-S005-S006-S007-S011-S012-S014-S015
26.0,9.23,51.0,7,5,-91.95,S002-S003-S005-S006-S007-S011-S012-S014-S015
26.0,9.23,54.0,7,4,-84.95,S002-S003-S005-S006-S007-S011-S012-S014-S015
26.0,9.23,57.0,7,4,-100.56,S003-S004-S005-S006-S007-S011-S012-S014-S015
26.0,9.23,60.0,6,4,-114.94,S003-S004-S005-S006-S007-S010-S011-S012-S014-S015
26.0,9.23,63.0,7,5,-131.59,S003-S004-S005-S006-S007-S010-S011-S012-S015
26.0,9.23,66.0,8,6,-130.94,S003-S004-S005-S006-S007-S010-S011-S015
26.0,9.23,69.0,7,5,-138.91,S003-S004-S005-S006-S007-S009-S010-S011-S015
26.0,9.23,72.0,5,4,-139.5,S002-S003-S004-S005-S006-S007-S009-S010-S011-S012-S015
26.0,9.23,75.0,6,5,-145.44,S002-S003-S004-S006-S007-S009-S010-S011-S012-S015
26.0,9.23,78.0,6,4,-147.87,S002-S003-S004-S006-S007-S009-S010-S011-S012-S015
26.0,9.23,81.0,5,4,-139.81,S002-S003-S004-S006-S007-S009-S010-S011-S012-S014-S015
26.0,9.23,84.0,4,3,-134.89,S002-S003-S004-S006-S007-S008-S009-S010-S011-S012-S014-S015
26.0,9.23,87.0,4,3,-131.72,S002-S003-S004-S006-S007-S008-S009-S010-S011-S012-S014-S015
26.0,9.23,90.0,4,3,-125.8,S002-S003-S004-S006-S007-S008-S009-S010-S011-S012-S014-S015
26.0,9.23,93.0,5,3,-118.04,S002-S003-S004-S007-S008-S009-S010-S011-S012-S014-S015
26.0,9.23,96.0,4,3,-110.79,S002-S003-S004-S006-S007-S008-S009-S010-S011-S012-S014-S015
26.0,9.23,99.0,4,3,-105.47,S002-S003-S004-S006-S007-S008-S009-S010-S011-S012-S014-S015
26.0,9.23,102.0,4,4,-103.46,S002-S003-S004-S005-S006-S007-S008-S009-S010-S011-S014-S015
26.0,9.23,105.0,4,4,-92.21,S002-S003-S004-S005-S006-S007-S008-S009-S010-S011-S014-S015
26.0,9.23,108.0,7,6,-82.93,S003-S004-S005-S007-S009-S010-S011-S014-S015
26.0,9.23,111.0,7,7,-74.18,S003-S004-S005-S007-S009-S010-S011-S014-S015
26.0,9.23,114.0,7,6,-63.6,S003-S004-S005-S007-S009-S010-S011-S014-S015
26.0,9.23,117.0,6,6,-53.51,S003-S004-S005-S006-S007-S009-S010-S011-S014-S015
26.0,9.23,120.0,6,5,-49.39,S003-S004-S005-S006-S007-S009-S010-S011-S014-S015
26.0,9.23,123.0,7,5,-46.23,S003-S004-S006-S007-S009-S010-S012-S014-S015
26.0,9.23,126.0,7,6,-57.27,S003-S004-S006-S007-S009-S010-S012-S014-S015
26.0,9.23,129.0,7,6,-75.94,O01-S003-S004-S006-S009-S010-S012-S014-S015
26.0,9.23,132.0,7,7,-90.88,O01-S003-S004-S006-S009-S010-S012-S014-S015
26.0,9.23,135.0,7,7,-110.28,O01-S003-S004-S006-S009-S010-S012-S014-S015
26.0,9.23,138.0,7,7,-105.65,S003-S004-S006-S009-S010-S011-S012-S014-S015
26.0,9.23,141.0,6,5,-104.43,S001-S003-S004-S006-S009-S010-S011-S012-S014-S015
26.0,9.23,144.0,6,4,-113.04,S001-S002-S003-S004-S006-S010-S011-S012-S014-S015
26.0,9.23,147.0,5,4,-119.38,S001-S002-S003-S004-S005-S006-S010-S011-S012-S014-S015
26.0,9.23,150.0,6,4,-124.2,S001-S002-S003-S005-S006-S010-S011-S012-S014-S015
26.0,9.23,153.0,6,3,-125.84,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
26.0,9.23,156.0,5,3,-129.57,S001-S002-S003-S005-S006-S008-S009-S010-S011-S012-S014
26.0,9.23,159.0,5,3,-121.08,S001-S002-S003-S005-S006-S008-S009-S010-S011-S012-S014
26.0,9.23,162.0,5,3,-105.46,S001-S002-S003-S005-S006-S008-S009-S010-S011-S012-S014
26.0,9.23,165.0,5,3,-91.79,S001-S002-S003-S005-S006-S008-S009-S010-S011-S012-S014
26.0,9.23,168.0,6,3,-81.15,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
26.0,9.23,171.0,6,3,-74.62,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
26.0,9.23,174.0,4,2,-85.92,O01-S001-S002-S003-S005-S006-S007-S008-S010-S011-S012-S014
26.0,9.23,177.0,5,3,-108.77,O01-S001-S002-S003-S005-S006-S007-S008-S011-S012-S014
27.0,9.64,-180.0,5,3,-116.59,O01-S001-S002-S003-S004-S005-S006-S007-S011-S012-S014
27.0,9.64,-177.0,6,4,-111.55,O01-S001-S003-S004-S005-S006-S007-S011-S012-S014
27.0,9.64,-174.0,5,5,-99.82,O01-S001-S003-S004-S005-S006-S007-S011-S012-S013-S014
27.0,9.64,-171.0,6,5,-93.95,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
27.0,9.64,-168.0,6,5,-91.45,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
27.0,9.64,-165.0,6,5,-86.11,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
27.0,9.64,-162.0,6,6,-79.53,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
27.0,9.64,-159.0,6,6,-71.97,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
27.0,9.64,-156.0,6,6,-62.18,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
27.0,9.64,-153.0,8,6,-52.32,S003-S004-S007-S008-S011-S012-S013-S014
27.0,9.64,-150.0,8,8,-53.29,S003-S004-S007-S008-S011-S012-S013-S014
27.0,9.64,-147.0,8,8,-54.15,S003-S004-S007-S008-S011-S012-S013-S014
27.0,9.64,-144.0,9,8,-53.54,S004-S007-S008-S011-S012-S013-S014
27.0,9.64,-141.0,9,9,-40.11,S004-S007-S008-S011-S012-S013-S014
27.0,9.64,-138.0,9,9,-41.0,S004-S007-S008-S011-S012-S013-S014
27.0,9.64,-135.0,9,9,-62.78,S004-S007-S008-S011-S012-S013-S014
27.0,9.64,-132.0,9,9,-56.04,S004-S007-S008-S011-S012-S013-S014
27.0,9.64,-129.0,10,10,-73.28,S004-S007-S008-S011-S012-S013
27.0,9.64,-126.0,10,10,-87.56,S004-S007-S008-S011-S012-S013
27.0,9.64,-123.0,10,9,-109.21,S002-S004-S007-S011-S012-S013
27.0,9.64,-120.0,10,9,-114.75,S002-S004-S007-S011-S012-S013
27.0,9.64,-117.0,9,9,-93.59,S002-S004-S005-S007-S011-S012-S013
27.0,9.64,-114.0,9,9,-53.55,S002-S004-S005-S007-S011-S012-S013
27.0,9.64,-111.0,9,9,-45.76,S002-S004-S005-S007-S011-S012-S013
27.0,9.64,-108.0,9,9,-36.86,S002-S004-S005-S007-S011-S012-S013
27.0,9.64,-105.0,9,8,-40.75,S002-S004-S005-S007-S011-S012-S013
27.0,9.64,-102.0,10,9,-38.48,O01-S002-S004-S007-S012-S013
27.0,9.64,-99.0,10,9,-36.49,O01-S002-S004-S007-S012-S013
27.0,9.64,-96.0,9,8,-37.62,O01-S002-S004-S007-S008-S010-S013
27.0,9.64,-93.0,9,9,-38.33,O01-S002-S004-S007-S008-S010-S013
27.0,9.64,-90.0,10,9,-36.76,O01-S002-S004-S007-S008-S010
27.0,9.64,-87.0,10,9,-59.35,O01-S002-S004-S007-S008-S010
27.0,9.64,-84.0,10,8,-75.19,O01-S002-S004-S007-S008-S010
27.0,9.64,-81.0,10,8,-81.05,O01-S002-S004-S007-S008-S010
27.0,9.64,-78.0,10,9,-83.9,O01-S002-S004-S007-S008-S010
27.0,9.64,-75.0,10,9,-80.67,O01-S002-S004-S007-S008-S010
27.0,9.64,-72.0,10,9,-103.02,O01-S002-S004-S007-S008-S010
27.0,9.64,-69.0,9,8,-129.36,O01-S002-S004-S007-S008-S009-S010
27.0,9.64,-66.0,9,7,-146.27,O01-S002-S004-S007-S008-S009-S010
27.0,9.64,-63.0,8,7,-143.31,O01-S002-S004-S007-S008-S009-S010-S013
27.0,9.64,-60.0,8,7,-148.03,O01-S002-S004-S007-S008-S009-S010-S013
27.0,9.64,-57.0,9,8,-120.99,O01-S002-S004-S007-S008-S009-S013
27.0,9.64,-54.0,9,8,-98.87,O01-S002-S004-S007-S008-S009-S013
27.0,9.64,-51.0,9,8,-72.99,O01-S002-S004-S007-S008-S009-S013
27.0,9.64,-48.0,8,8,-46.52,O01-S002-S004-S006-S007-S008-S009-S013
27.0,9.64,-45.0,8,7,-27.84,O01-S002-S004-S006-S007-S008-S009-S013
27.0,9.64,-42.0,7,7,-40.75,O01-S002-S004-S006-S007-S008-S009-S013-S014
27.0,9.64,-39.0,7,7,-26.6,O01-S002-S004-S006-S007-S008-S009-S013-S014
27.0,9.64,-36.0,7,6,-36.76,O01-S002-S004-S006-S007-S008-S009-S013-S014
27.0,9.64,-33.0,7,7,-63.46,O01-S002-S004-S005-S006-S007-S009-S013-S014
27.0,9.64,-30.0,7,6,-78.68,O01-S002-S004-S005-S006-S007-S009-S010-S014
27.0,9.64,-27.0,7,7,-91.82,O01-S002-S004-S005-S006-S007-S009-S010-S014
27.0,9.64,-24.0,8,7,-76.9,O01-S002-S004-S006-S007-S009-S010-S014
27.0,9.64,-21.0,8,6,-59.88,O01-S002-S006-S007-S009-S010-S013-S014
27.0,9.64,-18.0,7,7,-53.87,O01-S002-S005-S006-S007-S009-S010-S013-S014
27.0,9.64,-15.0,8,7,-61.8,O01-S002-S006-S007-S009-S010-S013-S014
27.0,9.64,-12.0,7,7,-51.67,O01-S002-S005-S006-S007-S009-S010-S013-S014
27.0,9.64,-9.0,8,7,-65.36,O01-S002-S006-S007-S009-S010-S013-S014
27.0,9.64,-6.0,10,8,-56.85,O01-S006-S007-S009-S010-S014
27.0,9.64,-3.0,10,8,-50.34,S005-S006-S007-S009-S010-S014
27.0,9.64,0.0,11,10,-63.16,S005-S006-S007-S009-S010
27.0,9.64,3.0,11,10,-23.19,S005-S006-S007-S009-S010
27.0,9.64,6.0,10,8,-31.72,O01-S005-S006-S007-S009-S010
