起点,终点,水平距离（m）,起点作业海拔（m）,终点作业海拔（m）,航段DEM最高海拔（m）,计划巡航海拔（m）,起点爬升（m）,终点下降（m）,经过DEM像元段数
S010,S006,7921.288809552765,351.5816650390625,305.1272277832031,383.2227783203125,433.2227783203125,81.64111328125,128.09555053710938,318
S010,S007,8599.961183988793,351.5816650390625,344.2220458984375,386.94964599609375,436.94964599609375,85.36798095703125,92.72760009765625,337
S010,S008,9292.963465560637,351.5816650390625,278.2891845703125,419.0903015136719,469.0903015136719,117.50863647460938,190.80111694335938,445
S010,S009,4564.123815514201,351.5816650390625,219.4370880126953,432.957275390625,482.957275390625,131.3756103515625,263.5201873779297,209
S010,S011,5873.554488807832,351.5816650390625,208.04286193847656,387.0433349609375,437.0433349609375,85.461669921875,229.00047302246094,247
S010,S012,3951.0036693855463,351.5816650390625,283.31507873535156,423.1903076171875,473.1903076171875,121.608642578125,189.87522888183594,152
S010,S013,1378.6725660024993,351.5816650390625,351.70806884765625,454.07037353515625,504.07037353515625,152.48870849609375,152.3623046875,60
S010,S014,1753.1911243416014,351.5816650390625,350.9825134277344,487.5635681152344,537.5635681152344,185.98190307617188,186.5810546875,79
S010,S015,9196.057367272155,351.5816650390625,466.229248046875,568.3262329101562,618.3262329101562,266.74456787109375,152.09698486328125,410
S011,O01,2808.074141172352,208.04286193847656,128.7255401611328,245.36175537109375,295.36175537109375,87.31889343261719,166.63621520996094,123
S011,S001,2354.0924433364644,208.04286193847656,183.96136474609375,226.38790893554688,276.3879089355469,68.34504699707031,92.42654418945312,90
S011,S002,5781.672558439652,208.04286193847656,218.7942352294922,311.78533935546875,361.78533935546875,153.7424774169922,142.99110412597656,277
S011,S003,5356.616785615898,208.04286193847656,338.51068115234375,485.42230224609375,535.4223022460938,327.3794403076172,196.91162109375,216
S011,S004,5403.732853175252,208.04286193847656,225.11575317382812,311.138916015625,361.138916015625,153.09605407714844,136.02316284179688,230
S011,S005,2802.7123391876435,208.04286193847656,199.03955078125,297.5489196777344,347.5489196777344,139.5060577392578,148.50936889648438,117
S011,S006,3409.7212874962756,208.04286193847656,305.1272277832031,350.46759033203125,400.46759033203125,192.4247283935547,95.34036254882812,162
S011,S007,2834.028279436124,208.04286193847656,344.2220458984375,389.17535400390625,439.17535400390625,231.1324920654297,94.95330810546875,109
S011,S008,5327.210001304207,208.04286193847656,278.2891845703125,362.91650390625,412.91650390625,204.87364196777344,134.6273193359375,199
S011,S009,4325.128640391164,208.04286193847656,219.4370880126953,265.66766357421875,315.66766357421875,107.62480163574219,96.23057556152344,207
S011,S010,5873.554488807832,208.04286193847656,351.5816650390625,387.0433349609375,437.0433349609375,229.00047302246094,85.461669921875,247
S011,S012,6903.5016312811385,208.04286193847656,283.31507873535156,370.4505615234375,420.4505615234375,212.40769958496094,137.13548278808594,308
S011,S013,5233.202289815915,208.04286193847656,351.70806884765625,328.3608093261719,378.3608093261719,170.3179473876953,26.652740478515625,188
S011,S014,7127.718517217431,208.04286193847656,350.9825134277344,568.5668334960938,618.5668334960938,410.5239715576172,267.5843200683594,325
S011,S015,3461.196111601644,208.04286193847656,466.229248046875,538.7306518554688,588.7306518554688,380.6877899169922,122.50140380859375,164
S012,O01,7390.490025921055,283.31507873535156,128.7255401611328,363.3009948730469,413.3009948730469,129.9859161376953,284.57545471191406,354
S012,S001,4697.682085706637,283.31507873535156,183.96136474609375,385.599609375,435.599609375,152.28453063964844,251.63824462890625,219
S012,S002,3071.2754969584034,283.31507873535156,218.7942352294922,358.1782531738281,408.1782531738281,124.86317443847656,189.38401794433594,146
S012,S003,11816.960696393808,283.31507873535156,338.51068115234375,544.5889282226562,594.5889282226562,311.2738494873047,256.0782470703125,463
S012,S004,5285.127151136411,283.31507873535156,225.11575317382812,312.0069580078125,362.0069580078125,78.69187927246094,136.89120483398438,247
